iter	Passed	Remaining
854	2142	363
855	2144	360
856	2146	358
857	2148	355
858	2150	353
859	2153	350
860	2157	348
861	2160	345
862	2162	343
863	2164	340
864	2166	338
865	2169	335
866	2171	333
867	2173	330
868	2176	328
869	2178	325
870	2180	322
871	2182	320
872	2185	317
873	2188	315
874	2190	312
875	2193	310
876	2195	307
877	2197	305
878	2199	302
879	2202	300
880	2204	297
881	2207	295
882	2209	292
883	2211	290
884	2225	289
885	2227	286
886	2229	284
887	2232	281
888	2234	278
889	2236	276
890	2239	274
891	2242	271
892	2246	269
893	2248	266
894	2250	264
895	2253	261
896	2256	259
897	2258	256
898	2261	254
899	2263	251
900	2266	249
901	2269	246
902	2271	244
903	2274	241
904	2276	239
905	2279	236
906	2282	234
907	2285	231
908	2288	229
909	2290	226
910	2293	224
911	2297	221
912	2301	219
913	2304	216
914	2307	214
915	2310	211
916	2315	209
917	2318	207
918	2321	204
919	2324	202
920	2327	199
921	2331	197
922	2335	194
923	2337	192
924	2340	189
925	2344	187
926	2347	184
927	2350	182
928	2352	179
929	2355	177
930	2358	174
931	2361	172
932	2364	169
933	2366	167
934	2370	164
935	2374	162
936	2377	159
937	2380	157
938	2382	154
939	2385	152
940	2388	149
941	2391	147
942	2394	144
943	2397	142
944	2400	139
945	2403	137
946	2407	134
947	2410	132
948	2413	129
949	2416	127
950	2419	124
951	2422	122
952	2425	119
953	2428	117
954	2430	114
955	2433	111
956	2435	109
957	2438	106
958	2442	104
959	2445	101
960	2447	99
961	2450	96
962	2452	94
963	2456	91
964	2458	89
965	2461	86
966	2463	84
967	2465	81
968	2468	78
969	2471	76
970	2474	73
971	2477	71
972	2479	68
973	2482	66
974	2484	63
975	2488	61
976	2490	58
977	2493	56
978	2495	53
979	2497	50
980	2500	48
981	2503	45
982	2505	43
983	2508	40
984	2511	38
985	2513	35
986	2516	33
987	2518	30
988	2521	28
989	2524	25
990	2527	22
991	2529	20
992	2532	17
993	2534	15
994	2537	12
995	2539	10
996	2542	7
997	2544	5
998	2547	2
999	2549	0
